pid;ID;Kapitelueberschrift;ErsteSeite;LetzteSeite;Anzahl_Seiten;PID_ersteSeite;Anzahl_weitereGliederungsebenen;DeeplinkingUrl
1371029;DTL397;"Titelseite";"[Seite I]";"[Seite II]";2;1371128;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371128
1371029;DTL398;"Vorrede";"[Seite III]";"Seite IV [Seite VI]";4;1371130;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371130
1371029;DTL399;"Einleitung";"Seite 1";"Seite 10";10;1371134;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371134
1371029;DTL400;"Statuten  Verfügungen";"Seite 11";"Seite 14";4;1371144;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371144
1371029;DTL401;"Einladung";"Seite 15";"Seite 15";1;1371148;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371148
1371029;DTL402;"Protokoll";"Seite 16";"Seite 20";5;1371149;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371149
1371029;DTL403;"Gesetze";"Seite 21";"Seite 23";3;1371154;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371154
1371029;DTL404;"Wahlliste";"Seite 23";"Seite 24";2;1371156;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371156
1371029;DTL405;"Königliche Bestätigung";"Seite 25";"Seite 26";2;1371158;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371158
1371029;DTL406;"Ausschuß";"Seite 27";"Seite 27";1;1371160;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371160
1371029;DTL407;"Verzeichnis der Mitglieder";"Seite 28";"Seite 36";9;1371161;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371161
1371029;DTL408;"Eigene Arbeiten";"Seite 37";"Seite 43";9;1371170;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371170
1371029;DTL409;"Vortrag des Herrn Direktor Maurer";"Seite 43";"Seite 47";5;1371178;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371178
1371029;DTL410;"Mayer, Franz Xaver: Uventin";"Seite 48";"Seite 53";6;1371183;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371183
1371029;DTL411;"Johann Uvenins Hausbesitz und Einbürgerung für sich und seiner Familie";"Seite 53";"Seite 55";3;1371188;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371188
1371029;DTL412;"Auszüge aus den Regensburgischen Siegel- uns BürgerBüchern";"Seite 55";"Seite 56";2;1371190;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371190
1371029;DTL413;"Kastel von Brunnen";"Seite 57";"Seite 65";9;1371192;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371192
1371029;DTL414;"Grabstein der Prinzessin Anna, Tochter Kaiser Ludwigs";"Seite 66";"Seite 71";8;1371201;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371201
1371029;DTL415;"Beschreibung des Schachtfeldes zwischen Schönberg und Bernhardswald 1504";"Seite 72";"Seite 78";7;1371211;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371211
1371029;DTL416;"Technische Gutachten über die von Eggmühl eingefundeten Trümmer eines alte Gefäßes";"Seite 79";"Seite 80";2;1371218;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371218
1371029;DTL417;"Literatur";"Seite 81";"Seite 86";6;1371220;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1371029&childpid=1371220
1208302;DTL469;"[Titelseite]";"[Seite I]";"[Seite II]";2;1208419;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208419
1208302;DTL470;"Vorrede";"[Seite III]";"Seite VI";4;1208421;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208421
1208302;DTL471;"[Brief]";"Seite VII";"Seite XI";5;1208425;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208425
1208302;DTL472;"Forster, F.: Etterzhausen. Beschreibung von Etterzhausen";"[Seite 177]";"Seite 204";28;1208431;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208431
1208302;DTL473;"Forster, F.: Beschreibung von Etterzhausen als Hofmarksgericht";"Seite 205";"Seite 220";16;1208459;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208459
1208302;DTL474;"Verzeichniß der katholischen Pfarrer zu Nittendorf von 1645 bis 1827 und gegenwärtige Zeit";"Seite 221";"Seite 224";4;1208475;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208475
1208302;DTL475;"Voith, Ignatz von: Bemerkungen über fossile Zähne, welche bei Regensburg ausgegraben worden sind";"Seite 225";"Seite 234";10;1208479;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208479
1208302;DTL476;"Krempel: Materialien zur Geschichte des Laberthales";"Seite 234";"Seite 241";8;1208488;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208488
1208302;DTL477;"von Raiser: Auszug aus einem Schreiben des Herrn Regierungs-Direktors von Raiser";"Seite 241";"Seite 242";2;1208495;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208495
1208302;DTL478;"Pondorf, X.M. Plebanus: Nachtrag zu der Abhandlung: Nassenfelt oder Altofeltoniana im II. Hefte der Verhandlungen des historischen Vereins im Regenkreise";"Seite 242";"Seite 247";6;1208496;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208496
1208302;DTL479;"Mayer, Franz Xaver: Ankündigung: Tiburnia oder Regensburg und die ältesten Bischöfe in Bayern aus römischer und agilolfingischer Zeit";"Seite 247";"Seite 260";14;1208501;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208501
1208302;DTL480;"Kastenmair: Geschichte des Gerichtsbezirks Burglengenfeld im Allgemeinen und in seinen besonderen Verhältnissen";"Seite 260";"Seite 266";7;1208514;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208514
1208302;DTL481;"Aufgefundene Antiken";"Seite 266";"Seite 271";9;1208520;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208520
1208302;DTL482;"Literatur";"Seite 272";"Seite 275";4;1208530;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208530
1208302;DTL483;"Verbesserung";"[Seite 276]";"[Seite 276]";1;1208534;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1208302&childpid=1208534
482432;DTL405;"Titelseite";"[I]";"[I]";1;482533;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482533
482432;DTL406;"[Leerseite]";"[II]";"[II]";1;482534;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482534
482432;DTL407;"Vorrede";"[III]";"VI";4;482535;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482535
482432;DTL408;"Mayer, Franz Xaver: Artobriga Ptolomaei";"Seite 87";"Seite 115";31;482539;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482539
482432;DTL409;"Mayer, Franz Xaver: Celeusum und die römischen Schwitzbäder";"Seite 116";"Seite 120";5;482570;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482570
482432;DTL410;"Mayer, Franz Xaver: Colonia feronia und die Göttin Epona";"[Leerseite]";"Seite 132";14;482575;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482575
482432;DTL411;"Mayer, Franz Xaver: Essing und das Schulerloch";"Seite 133";"Seite 147";15;482589;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482589
482432;DTL412;"Mayer, Franz Xaver: Zugabe zu Essing. Inschriften und Epitaphien";"Seite 148";"Seite 151";4;482604;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482604
482432;DTL413;"Mayer, Franz Xaver: Prun an der Altmühle bei Riedenburg";"Seite 152";"Seite 157";6;482608;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482608
482432;DTL414;"Mayer, Franz Xaver: Die elilenden drei Heiligen";"Seite 158";"Seite 162";5;482614;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482614
482432;DTL415;"Mayer, Franz Xaver: Die Donauquellen";"Seite 163";"Seite 167";5;482619;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482619
482432;DTL416;"Mayer, Franz Xaver: Historisches Allerlei";"Seite 168";"Seite 173";6;482624;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482624
482432;DTL417;"Literatur";"Seite 174";"Seite 176";3;482630;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=482432&childpid=482630
1197769;DTL405;"[Titelseite]";"[Seite I]";"[Seite II]";2;1197870;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197870
1197769;DTL406;"Vorrede";"[Seite III]";"Seite VI";4;1197872;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197872
1197769;DTL407;"Mayer, Franz Xaver: Artobriga Ptolomaei oder Weltenburg, das muthmaßlich älteste Kloster in Bayern; das alte Aureatum oder heutige Eichstätt, und Feltonium, das heutige Nassenfelt, zwischen Neuburg und Eichstätt";"[Seite 87]";"Seite 116";31;1197876;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197876
1197769;DTL408;"Mayer, Franz Xaver: Celeusum und die römischen Schwitzbäder";"Seite 116";"[Abb.] Der Römerstein zu Pförring";6;1197907;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197907
1197769;DTL409;"Mayer, Franz Xaver: Colonia feronia und die Göttin Epona. Mit einer Abbildung des alten Colonial-Wappens";"Seite 121";"Seite 132";12;1197914;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197914
1197769;DTL410;"Mayer, Franz Xaver: Essing und das Schulerloch";"Seite 133";"Seite 148";16;1197926;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197926
1197769;DTL411;"Mayer, Franz Xaver: Zugabe zu Essing. Inschriften und Epitaphien";"Seite 148";"Seite 151";4;1197941;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197941
1197769;DTL412;"Mayer, Franz Xaver: Prun an der Altmühle bei Riedenburg";"Seite 152";"Seite 157";6;1197945;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197945
1197769;DTL413;"Mayer, Franz Xaver: Die elilenden drei Heiligen";"Seite 158";"Seite 162";5;1197951;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197951
1197769;DTL414;"Mayer, Franz Xaver: Die Donauquellen";"Seite 163";"Seite 168";6;1197956;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197956
1197769;DTL415;"Mayer, Franz Xaver: Historisches Allerlei";"Seite 168";"Seite 173";6;1197961;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197961
1197769;DTL416;"Literatur";"Seite 174";"Seite 176";3;1197967;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1197769&childpid=1197967
1392454;DTL621;"[Titelseite]";"[Seite I]";"[Seite II]";2;1392609;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1392454&childpid=1392609
1392454;DTL622;"Vorrede";"[Seite III]";"Seite VI";4;1392611;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1392454&childpid=1392611
1392454;DTL623;"Gandershofer, G. M.: Chronik des Marktes und Badeortes Abach";"[Seite 277]";"Seite 377";102;1392615;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1392454&childpid=1392615
1392454;DTL624;"Anhang";"Seite 378";"Seite 394";17;1392718;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1392454&childpid=1392718
1392454;DTL625;"Literatur";"Seite 395";"Seite 416";22;1392735;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1392454&childpid=1392735
1392454;DTL626;"Inhalts-Anzeige";"Seite 417";"Seite 422";6;1392757;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1392454&childpid=1392757
1418025;DTL2057;"[Titelblatt]";"[ungezählt]";"[Tafel II]";3;1418539;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1418025&childpid=1418539
1418025;DTL2058;"1. Heft";"[Seite I]";"[Tafel VI]";147;1418545;6;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1418025&childpid=1418545
1418025;DTL2059;"2. Heft";"[Seite I]";"[Karte] Rhaetien und Noricum";134;1418695;9;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1418025&childpid=1418695
1418025;DTL2060;"3. Heft";"[Seite I]";"Seite 354";101;1418829;7;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1418025&childpid=1418829
1418025;DTL2061;"4. Heft";"[Seite I]";"Seite 469";121;1418931;6;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1418025&childpid=1418931
