PID;Produktionsnummer;BVNr.;HST;Signatur;MARC 773 $g;Sortierdatum;Datumsangabe MARC 260 $c;Creationdate
1371029;ubr04839;VHVO 1,1;Verhandlungen des historischen Vereins für den Regenkreis Band 1,1 (1831);00/NA 8784-1,1;vol.1,1 (1831);1831;1831;25.05.2010
1208302;ubr02656;VHVO 1,3;Verhandlungen des historischen Vereins für den Regenkreis Band 1,3 (1832);00/NA 8784-1,2/3;vol.1,3 (1832);1832;1832;03.05.2010
482432;ubr02655;VHVO 1,2;Verhandlungen des historischen Vereins für den Regenkreis Band 1,2 (1832);00/NA 8784-1,2/3;vol.1 no.2 (1832);1832;1832;21.07.2009
1197769;ubr02655;VHVO 1,2;Verhandlungen des historischen Vereins für den Regenkreis Band 1,2 (1832);00/NA 8784-1,2/3;vol.1,2 (1832);1832;1832;30.04.2010
1392454;ubr04840;VHVO 1,4;Verhandlungen des historischen Vereins für den Regenkreis Band 1,4 (1832);00/NA 8784-1,4;vol.1,4 (1832);1832;1832;26.05.2010
1418025;ubr04841;VHVO 2;Verhandlungen des historischen Vereins für den Regenkreis Band 2 (1833/34);;vol.2 (1833/34);1834;1834;23.06.2010
1411341;ubr04842;VHVO 3;Verhandlungen des historischen Vereins für den Regenkreis Band 3 (1835/36);50/NA 8785-3;vol.3 (1835/36);1836;1836;22.06.2010
1430840;ubr01757;VHVO 4,1;Verhandlungen des historischen Vereins für den Regenkreis Band 4,1 (1837);;vol.4,1 (1837);1837;1837;01.07.2010
1233359;ubr04843;VHVO 4,2/3;Verhandlungen des historischen Vereins für Oberpfalz und Regensburg Band 4,2/3 (1838);50/NA 8785-4;vol.4,2/3 (1838);1838;1838;05.05.2010
1105282;ubr02657;VHVO 4,4;Verhandlungen des historischen Vereins für die Oberpfalz und von Regensburg Band 4,4 (1839);;vol.4,4 (1839);1839;1839;19.04.2010
520961;ubr02875;VHVO 5;Verhandlungen des historischen Vereins für die Oberpfalz und Regensburg Band 5 (1839);50/NA 8785-5;vol.5 (1839);1839;1839;08.10.2009
1329248;ubr02053;VHVO 6,2;Verhandlungen des historischen Vereins der Oberpfalz und von Regensburg Band 6,2 (1841);00/NA 8784-6,2;vol.6,2 (1841);1841;1841;19.05.2010
1321565;ubr01756;VHVO 6,1;Verhandlungen des historischen Vereins der Oberpfalz und von Regensburg Band 6,1 (1841);00/NA 8784-6,1;vol.6,1 (1841);1841;1841;18.05.2010
554698;ubr02639;VHVO 7;Verhandlungen des historischen Vereins der Oberpfalz und von Regensburg Band 7 (1843);00/NA 8784-7;vol.7 (1843);1843;1843;22.10.2009
581856;ubr02674;VHVO 8;Verhandlungen des historischen Vereins der Oberpfalz und von Regensburg Band 8 (1844);50/NA 8785-8;vol.8 (1844);1844;1844;12.11.2009
607592;ubr01924;VHVO 9;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 9 (1845);50/NA 8785-9;vol.9 (1845);1845;1845;18.01.2010
1231092;ubr03415;VHVO 10;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 10 (1846);00/NA 8784-10;vol.10 (1846);1846;1846;04.05.2010
904512;ubr01803;VHVO 11;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 11 (1847);50/NA 8785-11;vol.11 (1847);1847;1847;02.03.2010
695764;ubr01802;VHVO 12;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 12 (1848);50/NA 8785-12;vol.12 (1848);1848;1848;02.02.2010
671031;ubr01801;VHVO 13;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 13 (1849);50/NA 8785-13;vol.13 (1849);1849;1849;01.02.2010
700212;ubr01798;VHVO 14;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 14 (1850);50/NA 8785-14;vol.14 (1850);1850;1850;02.02.2010
869831;ubr02874;VHVO 15;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 15 (1853);00/NA 8784-15;vol.15 (1853);1853;1853;22.02.2010
809937;ubr02368;VHVO 16;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 16 (1855);50/NA 8785-16;vol.16 (1855);1855;1855;10.02.2010
707977;ubr03340;VHVO 17;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 17 (1856);50/NA 8785-17;vol.17 (1856);1856;1856;03.02.2010
1089175;ubr02367;VHVO 18;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 18 (1858);50/NA 8785-18;vol.18 (1858);1859;1859;13.04.2010
799321;ubr02366;VHVO 19;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 19 (1860);00/NA 8784-19;vol.19 (1860);1860;1860;08.02.2010
710887;ubr02673;VHVO 20;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 20 (1861);50/NA 8785-20;vol.20 (1861);1861;1861;03.02.2010
714900;ubr03339;VHVO 21;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 21 (1862);50/NA 8785-21;vol.21 (1862);1862;1862;03.02.2010
740420;ubr02672;VHVO 22;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 22 (1864);50/NA 8785-22;vol.22 (1864);1864;1864;04.02.2010
743517;ubr02668;VHVO 23;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 23 (1865);50/NA 8785-23;vol.23 (1865);1865;1865;04.02.2010
1337443;ubr02394;VHVO 24;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 24 (1866);00/NA 8784-24;vol.24 (1866);1866;1866;19.05.2010
755863;ubr02666;VHVO 25;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 25 (1868);50/NA 8785-25;vol.25 (1868);1868;1868;05.02.2010
1067751;ubr02667;VHVO 26;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 26 (1869);50/NA 8785-26;vol.26 (1869);1869;1869;12.04.2010
873245;ubr02884;VHVO 27;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 27 (1871);50/NA 8785-27;vol.27 (1871);1871;1871;23.02.2010
759916;ubr02392;VHVO 28;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 28 (1872);50/NA 8785-28;vol.28 (1872);1872;1872;05.02.2010
1309427;ubr00030;VHVO 30,1;Verzeichniß über die Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 30,1 (1874);50/NA 8785-30;vol.30,1 (1874);1874;1874;18.05.2010
1194714;ubr02391;VHVO 29;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 29 (1874);50/NA 8785-29;vol.29 (1874);1874;1874;30.04.2010
1209720;ubr02389;VHVO 30,1;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 30,1 (1874) Register zu Band 1-30;00/NA 8784-30,1;vol.30,1 (1874);1874;1874;03.05.2010
1830649;ubr06970;VHVO 30;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 30 (1874);50/NA 8785-30;vol.30 (1874);1874;1874;20.10.2010
1297928;ubr00017;VHVO 31;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 31 (1875);00/NA 8784-31;vol.31 (1875);1875;1875;18.05.2010
1299950;ubr00018;VHVO 32;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 32 (1877);00/NA 8784-32;vol.32 (1877);1877;1877;18.05.2010
969607;ubr00019;VHVO 33;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 33 (1878);00/NA 8784-33;vol.33 (1878);1878;1878;18.03.2010
1092715;ubr02402;VHVO 34;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 34 (1879);00/NA 8784-34;vol.34 (1879);1879;1879;13.04.2010
1094613;ubr02403;VHVO 35;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 35 (1880);00/NA 8784-35;vol.35 (1880);1880;1880;13.04.2010
1301812;ubr00021;VHVO 36;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 36 (1882);00/NA 8784-36/37;vol.36 (1882);1882;1882;18.05.2010
